,noticeID,wetland_type,impact_duration,impact_quantity,impact_unit,impact_type,impact_type_clean
188,Notice_NO_2456,non-vegetated tidal bottom,unknown,3.53,acres,dredge,UNCATEGORIZED
189,Notice_NO_2456,non-vegetated tidal bottom,permanent,10.7,acres,conversion,UNCATEGORIZED
190,Notice_NO_6032,residential canal,unknown,,unknown,not authorized for use within them,UNCATEGORIZED
191,Notice_NO_6032,wetland,unknown,,unknown,not authorized by this general permit,UNCATEGORIZED
192,Notice_NO_6027,jurisdictional wetland,unknown,5900.0,square feet,fill,LOSS
193,Notice_NO_454,wetland,unknown,4.11,acres,dredged material placement,LOSS
194,Notice_NO_454,water,unknown,784.5,feet,dredged material placement,LOSS
195,Notice_NO_6031,wetland,unknown,1.92,acres,discharge clean fill,LOSS
196,Notice_NO_6031,wetland,unknown,0.02,acres,excavate,LOSS
197,Notice_NO_6030,wetland,unknown,3.43,acres,fill,LOSS
198,Notice_NO_6030,ditche,unknown,0.17,acres,fill,UNCATEGORIZED
199,Notice_NO_6029,forested wetland,unknown,8.64,acres,fill,LOSS
200,Notice_NO_6028,jurisdictional wetland,unknown,5920.0,square feet,fill,LOSS
201,Notice_NO_6028,fill,unknown,210.0,feet,limerock boulders,UNCATEGORIZED
202,Notice_NO_6028,fill,unknown,317.0,square feet,concrete marginal dock,UNCATEGORIZED
203,Notice_NO_6028,fill,unknown,20.0,cubic yards,limerock riprap boulders,UNCATEGORIZED
204,Notice_NO_6028,fill,unknown,120.0,square feet,wetland shoreline,UNCATEGORIZED
205,Notice_NO_6026,low quality wetland,unknown,9.52,acres,fill,LOSS
206,Notice_NO_1351,unknown,unknown,32.6,acres,construction,UNCATEGORIZED
207,Notice_NO_453,dock #2,unknown,,unknown,Dredging,UNCATEGORIZED
208,Notice_NO_453,dock #4,unknown,,unknown,Dredging,UNCATEGORIZED
209,Notice_NO_453,dock #5,unknown,,unknown,Dredging,UNCATEGORIZED
210,Notice_NO_453,coker drum offloading site,unknown,100.0,cubic yards,Excavation,UNCATEGORIZED
211,Notice_NO_453,coke / distillate dock,unknown,125000.0,cubic yards,Dredging,UNCATEGORIZED
212,Notice_NO_453,new material offload facility dock,unknown,18.2,square feet,Fill,UNCATEGORIZED
213,Notice_NO_1350,uplands and waterbottom,unknown,398.0,cubic yards,excavation,LOSS
214,Notice_NO_1350,waterbottom,unknown,228.0,cubic yards,excavation,LOSS
215,Notice_NO_1350,tidal wetland,unknown,0.01,acres,loss,LOSS
216,Notice_NO_6025,freshwater forested wetland,unknown,1.04,acres,fill,LOSS
217,Notice_NO_6024,wetland,unknown,1.15,acres,fill,LOSS
218,Notice_NO_6023,lagoon,unknown,0.169,acres,infill,UNCATEGORIZED
219,Notice_NO_6022,wetland pine plantation,unknown,1.5,acres,loss,LOSS
220,Notice_NO_6022,mixed forested wetland,unknown,5.99,acres,loss,LOSS
221,Notice_NO_6022,wetland pine plantation,unknown,13.28,acres,loss,LOSS
222,Notice_NO_6022,mixed forested wetland,unknown,20.34,acres,loss,LOSS
223,Notice_NO_6022,shrub wetland,unknown,1.47,acres,loss,LOSS
224,Notice_NO_6022,ditche,unknown,0.57,acres,loss,UNCATEGORIZED
225,Notice_NO_6021,submerged bottom,unknown,1500.0,square feet,fill,UNCATEGORIZED
226,Notice_NO_6021,u.s. navigable water,temporary,,unknown,install temporary floating turbidity barriers,UNCATEGORIZED
227,Notice_NO_2451,unknown,unknown,,unknown,unknown,UNCATEGORIZED
228,Notice_NO_2452,bayou sorre l,unknown,25535.0,cubic yards,excavation and re-deposition,UNCATEGORIZED
229,Notice_NO_2452,jurisdictional forested wetland,unknown,0.4,acres,clearing and conversion to open water,LOSS
230,Notice_NO_2452,jurisdictional forested wetland,unknown,8.3,acres,clearing and excavation to become open water,LOSS
231,Notice_NO_2452,jurisdictional forested wetland,unknown,5.8,acres,clearing and filling,LOSS
232,Notice_NO_2448,non-vegetated water bottom,temporary,8.0,acres,dredging activities,LOSS
233,Notice_NO_2447,fresh marsh with some mixed forested wetland habitat,permanent,1.16,acres,loss,LOSS
234,Notice_NO_2447,other waters of the united states (owous),permanent,0.25,acres,loss,LOSS
235,Notice_NO_6018,waters of the u.s. (wetlands),unknown,0.45,acres,discharge fill material,LOSS
236,Notice_NO_6018,nine mile creek,unknown,0.15,acres,dredge,UNCATEGORIZED
237,Notice_NO_2449,mix bottomland hardwood and pine savannah wetland,permanent,24.66,acres,loss,LOSS
238,Notice_NO_2446,jurisdictional forested mixed pine bottomland hardwood wetland,unknown,31.91,acres,clearing and excavation,LOSS
239,Notice_NO_2446,jurisdictional forested mixed pine bottomland hardwood wetland,unknown,3.39,acres,fill placement,LOSS
240,Notice_NO_2446,other waters of the united states (owous),permanent,0.3,acres,excavation activities,LOSS
241,Notice_NO_2453,emergent wetland,unknown,1.5,acres,direct impact,LOSS
242,Notice_NO_2453,forested wetland,unknown,5.9,acres,direct impact,LOSS
243,Notice_NO_2453,forested batture,unknown,1.8,acres,direct impact,LOSS
244,Notice_NO_2453,jurisdictional water,unknown,0.2,acres,direct impact,LOSS
245,Notice_NO_2450,unknown,unknown,3.1,acres,loss,UNCATEGORIZED
246,Notice_NO_6019,jurisdictional wetland,unknown,5800.0,square feet,fill,LOSS
247,Notice_NO_6019,wetland shoreline,unknown,2050.0,square feet,avoid,UNCATEGORIZED
248,Notice_NO_6019,adjacent wetland,unknown,,other,install,UNCATEGORIZED
249,Notice_NO_6016,unknown,unknown,11.06,acres,fill,UNCATEGORIZED
250,Notice_NO_6016,waters of the united state,unknown,146067.0,cubic yards,dredge,LOSS
251,Notice_NO_6017,forested wetland,unknown,0.49,acres,fill,LOSS
252,Notice_NO_6015,reef,10 years,,unknown,placement of materials,UNCATEGORIZED
253,Notice_NO_6014,reef,10 years,,unknown,placement of materials,UNCATEGORIZED
254,Notice_NO_6013,wetlands and other water,unknown,0.85,acres,fill,LOSS
255,Notice_NO_2445,non-vegetated waterbottom,unknown,0.14,acres,loss of waterbottoms,LOSS
256,Notice_NO_2444,unknown,temporary,80.0,acres,workspace development,UNCATEGORIZED
257,Notice_NO_2443,jurisdictional wetland,unknown,123.2,acres,filling,LOSS
258,Notice_NO_1349,perennial stream,unknown,100.0,feet,fill,LOSS
259,Notice_NO_1349,ephemeral stream,unknown,295.0,feet,fill,LOSS
260,Notice_NO_1349,wetland,unknown,0.15,acres,fill,LOSS
261,Notice_NO_452,mudflat,unknown,955.0,acres,"enhance, restore and preserve",UNCATEGORIZED
262,Notice_NO_452,mangrove,unknown,955.0,acres,"enhance, restore and preserve",UNCATEGORIZED
263,Notice_NO_452,seagra,unknown,955.0,acres,"enhance, restore and preserve",UNCATEGORIZED
264,Notice_NO_452,emergent wetland,unknown,955.0,acres,"enhance, restore and preserve",BENEFIT
265,Notice_NO_6012,artificial reef,unknown,2000.0,cubic yards,deployment,UNCATEGORIZED
266,Notice_NO_6011,waters of the united state,unknown,890.0,cubic yards,fill material,LOSS
267,Notice_NO_6011,ramp edge,unknown,80.0,cubic yards,riprap material,UNCATEGORIZED
268,Notice_NO_1346,hardwood forested wetland,unknown,0.71,acres,fill,LOSS
269,Notice_NO_1345,lake martin,unknown,2053.0,feet,stacked stone seawall,UNCATEGORIZED
270,Notice_NO_451,off-channel reservoir,unknown,1929.0,acres,impoundment,UNCATEGORIZED
271,Notice_NO_451,oyster creek,unknown,,unknown,floodplain enhancements,UNCATEGORIZED
272,Notice_NO_450,beach,unknown,81454.0,feet,beach nourishment,UNCATEGORIZED
273,Notice_NO_6010,wetland,unknown,1.45,acres,fill,LOSS
274,Notice_NO_2441,wetland,unknown,0.33,acres,loss,LOSS
275,Notice_NO_2441,drainage swale,unknown,0.5,acres,loss,UNCATEGORIZED
276,Notice_NO_6009,sav,unknown,1040.0,square feet,cross,UNCATEGORIZED
277,Notice_NO_449,beach,unknown,39029.0,feet,nourishment,UNCATEGORIZED
278,Notice_NO_6008,non-wetland waters of the united state,unknown,53.0,acres,disturbance,UNCATEGORIZED
279,Notice_NO_6007,wetland,unknown,0.96,acres,fill,LOSS
280,Notice_NO_6007,surface waters (ditches),unknown,0.04,acres,fill,LOSS
281,Notice_NO_6006,wetland,unknown,1.07,acres,fill,LOSS
282,Notice_NO_6005,other surface waters (osws),unknown,3.01,acres,fill,LOSS
283,Notice_NO_6005,wetland,unknown,0.7,acres,fill,LOSS
284,Notice_NO_6005,other surface waters (osws),unknown,0.85,acres,fill,LOSS
285,Notice_NO_6005,wetland,unknown,0.71,acres,fill,LOSS
286,Notice_NO_6005,other surface waters (osws),unknown,0.35,acres,fill,LOSS
287,Notice_NO_6005,wetland,unknown,2.72,acres,fill,LOSS
288,Notice_NO_6004,wetland,unknown,8.5,acres,fill,LOSS
289,Notice_NO_6002,waters of the u.s.,unknown,6125.0,square feet,excavate,LOSS
290,Notice_NO_6002,beach,unknown,1450.0,cubic yards,fill,UNCATEGORIZED
291,Notice_NO_6002,mean high water line (mhwl),unknown,274.0,feet,install retaining wall,UNCATEGORIZED
292,Notice_NO_6002,pile supported dock,unknown,2.0,other,remove,UNCATEGORIZED
293,Notice_NO_6002,piling,unknown,4810.0,other,remove,UNCATEGORIZED
294,Notice_NO_6002,seawall,unknown,258.0,feet,install,UNCATEGORIZED
295,Notice_NO_6002,tidal water,unknown,8100.0,other,backfill,UNCATEGORIZED
296,Notice_NO_6002,seawall/ groin structure,unknown,86.0,feet,replace,UNCATEGORIZED
297,Notice_NO_6002,floating dock,unknown,10.0,other,install,UNCATEGORIZED
298,Notice_NO_6002,steel guide pile,unknown,36.0,other,install,UNCATEGORIZED
299,Notice_NO_6001,wetland,permanent,1.61,acres,fill,LOSS
300,Notice_NO_6001,wetland,temporary,1.87,acres,fill,LOSS
301,Notice_NO_6001,wetland,unknown,41.52,acres,loss,LOSS
302,Notice_NO_6003,waters of the united state,unknown,8.5,acres,fill,LOSS
303,Notice_NO_1344,waters of the united state,unknown,13.0,other,modification,UNCATEGORIZED
304,Notice_NO_3666,stream,unknown,947.0,feet,discharge of material,LOSS
305,Notice_NO_3666,stream,unknown,1076.0,feet,discharge of material,LOSS
306,Notice_NO_3666,stream,unknown,420.0,feet,discharge of material,LOSS
307,Notice_NO_3666,stream,unknown,914.0,feet,discharge of fill material,LOSS
308,Notice_NO_3666,perennial stream,unknown,2418.0,feet,proposed to be impacted,LOSS
309,Notice_NO_3666,intermittent stream,unknown,939.0,feet,proposed to be impacted,LOSS
310,Notice_NO_6000,jurisdictional wetland,unknown,2.89,acres,fill,LOSS
311,Notice_NO_2436,bayou l’ours marsh terrace,unknown,164047.0,feet,creation,BENEFIT
312,Notice_NO_2436,waterbottom,unknown,21.3,acres,loss,LOSS
313,Notice_NO_2437,unknown,unknown,,unknown,removal of existing timber,UNCATEGORIZED
314,Notice_NO_2437,unknown,unknown,,unknown,surface plowing and removal of timber beds,UNCATEGORIZED
315,Notice_NO_2437,unknown,unknown,,unknown,"backfilling of artificial surface drainage features and ponds with approximately 2,000,000 cubic yards of in situ earthen fill",UNCATEGORIZED
316,Notice_NO_2437,unknown,unknown,,unknown,enhance and restore traditional surface hydrology to the site for the construction of a mitigation bank with a pine savanna habitat,UNCATEGORIZED
317,Notice_NO_2438,unknown,unknown,13.0,other,additional mooring for barge fleeting,UNCATEGORIZED
318,Notice_NO_2439,forested wetland,unknown,0.88,acres,loss,LOSS
319,Notice_NO_2439,other waters of the u.,unknown,0.11,acres,loss,LOSS
320,Notice_NO_2440,bayou lafourche,unknown,78.0,cubic yards,dredged,UNCATEGORIZED
321,Notice_NO_2440,water bottom material,unknown,78.0,cubic yards,dredged,LOSS
322,Notice_NO_2440,bulkhead,unknown,131.0,feet,install and maintain,UNCATEGORIZED
323,Notice_NO_2440,emergent fresh marsh habitat,permanent,0.002,acres,loss,LOSS
324,Notice_NO_1343,wetland,unknown,0.35,acres,fill,LOSS
325,Notice_NO_1343,wetland,unknown,0.01,acres,fill,LOSS
326,Notice_NO_1343,wetland,unknown,0.25,acres,fill,LOSS
327,Notice_NO_1343,wetland,unknown,0.09,acres,fill,LOSS
328,Notice_NO_5999,flamingo district of everglades national park,unknown,5.0,other,remove and replace,UNCATEGORIZED
329,Notice_NO_5998,aquatic plant,unknown,20.0,acres,mechanical maintenance,UNCATEGORIZED
330,Notice_NO_5996,mangrove tidal ditch,unknown,0.2,acres,fill,UNCATEGORIZED
331,Notice_NO_5997,waters of the u.s.,unknown,25.12,acres,loss,LOSS
332,Notice_NO_5997,wetland,permanent,2.25,acres,fill,LOSS
333,Notice_NO_5997,wetland,unknown,0.74,acres,herbaceous,UNCATEGORIZED
334,Notice_NO_5997,wetland,unknown,1.51,acres,forested,UNCATEGORIZED
335,Notice_NO_5997,agricultural ditche,unknown,22.87,acres,fill,UNCATEGORIZED
336,Notice_NO_1342,pine savannah wetland,unknown,5.1,acres,fill,LOSS
337,Notice_NO_1342,bottomland hardwood wetland drain,unknown,0.6,acres,fill,LOSS
338,Notice_NO_5994,navigable water,unknown,164.753,other,submarine fiber optic cable,UNCATEGORIZED
339,Notice_NO_5994,navigable water,unknown,0.266,other,submarine fiber optic cable,UNCATEGORIZED
340,Notice_NO_447,jurisdictional adjacent wetland,unknown,3.41,acres,fill,LOSS
341,Notice_NO_447,waters of the u.s.,unknown,0.03,acres,fill,LOSS
342,Notice_NO_448,wetland,unknown,0.44,acres,fill,LOSS
343,Notice_NO_448,wetland,unknown,0.406,acres,fill,LOSS
344,Notice_NO_2434,non-vegetated water bottom,unknown,0.03,acres,fill,LOSS
345,Notice_NO_2435,forested wetland,permanent,37.4,acres,loss,LOSS
346,Notice_NO_2435,other waters of the u,unknown,0.5,acres,loss,LOSS
347,Notice_NO_2433,jurisdictional wetland,unknown,7.16,acres,loss,LOSS
348,Notice_NO_2432,traditionally navigable waters of the u,unknown,0.1,acres,loss,LOSS
349,Notice_NO_2431,unknown,unknown,53.0,feet,clearance,UNCATEGORIZED
350,Notice_NO_2431,unknown,unknown,52.0,feet,clearance,UNCATEGORIZED
351,Notice_NO_2431,unknown,unknown,69.0,feet,clearance,UNCATEGORIZED
352,Notice_NO_2430,unknown,unknown,15307.0,cubic yards,dredging,UNCATEGORIZED
353,Notice_NO_5989,wetland,unknown,4.14,acres,fill and/or convert,LOSS
354,Notice_NO_5989,ditch,unknown,0.15,acres,fill and/or convert,UNCATEGORIZED
355,Notice_NO_5990,jurisdictional wetland,unknown,5365.0,square feet,fill,LOSS
356,Notice_NO_5991,rip rap,unknown,420.0,feet,maintenance,UNCATEGORIZED
357,Notice_NO_5991,bulkhead,unknown,420.0,feet,construction,UNCATEGORIZED
358,Notice_NO_5991,rip rap,unknown,,unknown,relocation,UNCATEGORIZED
359,Notice_NO_5991,boat ramp,unknown,16.0,feet,construction,UNCATEGORIZED
360,Notice_NO_5991,rip rap,unknown,,unknown,removal,UNCATEGORIZED
361,Notice_NO_5991,boat ramp,unknown,,unknown,relocation,UNCATEGORIZED
362,Notice_NO_5991,bulkhead,unknown,,unknown,construction,UNCATEGORIZED
363,Notice_NO_5991,dock,unknown,4.0,other,construction,UNCATEGORIZED
364,Notice_NO_5992,seawall,6 months,1400.0,feet,stabilize the shoreline,UNCATEGORIZED
365,Notice_NO_5993,waters of the united state,unknown,8.56,acres,fill,LOSS
366,Notice_NO_444,"siding track, turnout pad",temporary,10.0,acres,fill,UNCATEGORIZED
367,Notice_NO_444,siding track,temporary,10.0,acres,fill,UNCATEGORIZED
368,Notice_NO_444,"culvert protection, riprap",temporary,10.0,acres,fill,UNCATEGORIZED
369,Notice_NO_444,siding track,temporary,10.0,acres,fill,UNCATEGORIZED
370,Notice_NO_444,culvert installation,temporary,10.0,acres,fill,UNCATEGORIZED
371,Notice_NO_444,"siding track, culvert installation",temporary,10.0,acres,fill,UNCATEGORIZED
372,Notice_NO_444,siding track,temporary,10.0,acres,fill,UNCATEGORIZED
373,Notice_NO_444,drainage,temporary,10.0,acres,fill,UNCATEGORIZED
374,Notice_NO_444,"siding track, drainage",temporary,10.0,acres,fill,UNCATEGORIZED
375,Notice_NO_444,culvert installation,temporary,30.16,acres,fill,UNCATEGORIZED
376,Notice_NO_444,ephemeral/r6,temporary,0.01,acres,fill,UNCATEGORIZED
377,Notice_NO_444,ephemeral/r6,temporary,0.01,acres,fill,UNCATEGORIZED
378,Notice_NO_444,manmade pond/pub,temporary,30.02,acres,fill,UNCATEGORIZED
379,Notice_NO_5988,wetland,unknown,4.66,acres,fill,LOSS
380,Notice_NO_5988,ditche,unknown,3.29,acres,fill,UNCATEGORIZED
381,Notice_NO_445,continental shelf,temporary,0.26,acres,pipeline decommissioning,UNCATEGORIZED
382,Notice_NO_446,barge slip,unknown,4000.0,feet,construction,UNCATEGORIZED
383,Notice_NO_446,barge slip,unknown,225.0,feet,construction,UNCATEGORIZED
384,Notice_NO_446,barge slip,unknown,500.0,feet,taper,UNCATEGORIZED
385,Notice_NO_446,barge slip,unknown,500.0,feet,taper,UNCATEGORIZED
386,Notice_NO_446,barge slip,unknown,500.0,feet,taper,UNCATEGORIZED
387,Notice_NO_446,barge slip,unknown,500.0,feet,taper,UNCATEGORIZED
388,Notice_NO_446,barge slip,unknown,1650.0,feet,dredged,UNCATEGORIZED
389,Notice_NO_446,barge slip,unknown,2510.0,feet,dredged,UNCATEGORIZED
390,Notice_NO_446,barge slip,unknown,603000.0,cubic yards,material removal,UNCATEGORIZED
391,Notice_NO_446,barge slip,unknown,1222000.0,cubic yards,material removal,UNCATEGORIZED
392,Notice_NO_446,barge slip,unknown,650000.0,cubic yards,material removal,UNCATEGORIZED
393,Notice_NO_446,barge slip,unknown,1142000.0,cubic yards,material removal,UNCATEGORIZED
394,Notice_NO_446,barge slip,unknown,3700.0,feet,widening,UNCATEGORIZED
395,Notice_NO_446,barge slip,unknown,500.0,feet,widening,UNCATEGORIZED
396,Notice_NO_446,barge slip,unknown,738000.0,cubic yards,material removal,UNCATEGORIZED
397,Notice_NO_446,barge slip,unknown,995000.0,cubic yards,material removal,UNCATEGORIZED
398,Notice_NO_5987,agricultural ditche,unknown,21.36,acres,fill,UNCATEGORIZED
399,Notice_NO_5987,freshwater marsh habitat,unknown,8.67,acres,fill,LOSS
400,Notice_NO_5987,ditche,temporary,0.11,acres,temporary impact,UNCATEGORIZED
401,Notice_NO_1341,wetland,unknown,1.03,acres,fill,LOSS
402,Notice_NO_3665,no anchorage restricted area,unknown,,other,creation,UNCATEGORIZED
403,Notice_NO_442,mosaic palustrine forested (pfo),permanent,31.74,acres,fill,LOSS
404,Notice_NO_5982,wetland,unknown,14.77,acres,"clear, grade, excavate, dredge and fill",LOSS
405,Notice_NO_5982,wetland,unknown,5.31,acres,excavate,LOSS
406,Notice_NO_5982,wetland,unknown,9.46,acres,fill,LOSS
407,Notice_NO_443,unknown,unknown,36.1,miles,decommission,UNCATEGORIZED
408,Notice_NO_5985,wetland,unknown,0.29,acres,loss,LOSS
409,Notice_NO_5985,ditche,unknown,3.01,acres,loss,UNCATEGORIZED
410,Notice_NO_1340,jurisdictional wetland,unknown,35.92,acres,loss,LOSS
411,Notice_NO_1340,open water,unknown,1.03,acres,loss,LOSS
412,Notice_NO_1340,perennial and intermittent stream,unknown,461.0,feet,culverting,UNCATEGORIZED
413,Notice_NO_1340,other waters of the united state,unknown,0.3,acres,loss,LOSS
414,Notice_NO_1340,non-jurisdictional wetland,unknown,1.23,acres,loss,LOSS
415,Notice_NO_1340,wetland,unknown,31.79,acres,fill,LOSS
416,Notice_NO_1340,open water,unknown,1.03,acres,fill,LOSS
417,Notice_NO_1340,intermittent stream,unknown,127.0,feet,culvert extension,UNCATEGORIZED
418,Notice_NO_1340,perennial stream,unknown,334.0,feet,culvert extension,UNCATEGORIZED
419,Notice_NO_1340,wetland,unknown,4.14,acres,fill,LOSS
420,Notice_NO_1340,other jurisdictional water,unknown,534.0,feet,culvert extension,UNCATEGORIZED
421,Notice_NO_5983,waters of the united state,unknown,4.42,acres,fill,LOSS
422,Notice_NO_5984,mixed hardwood wetland,unknown,1.4,acres,fill,LOSS
423,Notice_NO_5984,other surface water,unknown,0.57,acres,fill,LOSS
424,Notice_NO_5984,freshwater stream,unknown,0.7,acres,relocate,UNCATEGORIZED
425,Notice_NO_5984,tributary to gates creek,unknown,0.7,acres,fill,UNCATEGORIZED
426,Notice_NO_5981,waters of the united state,unknown,1.86,acres,fill,LOSS
427,Notice_NO_2427,jurisdictional wetland,unknown,20.5,acres,direct impact,LOSS
428,Notice_NO_2427,jurisdictional wetland,unknown,4.65,acres,avoided impact,LOSS
429,Notice_NO_5980,waters of the u.s. ( wetlands and ditches ),unknown,107.9,acres,fill,LOSS
430,Notice_NO_5980,jurisdictional wetland,permanent,149.7,acres,loss,LOSS
431,Notice_NO_5980,wetland,permanent,96.9,acres,direct fill,LOSS
432,Notice_NO_5980,wetland,permanent,52.9,acres,excavation,LOSS
433,Notice_NO_5980,wetland,temporary,4.9,acres,loss,LOSS
434,Notice_NO_5980,non-jurisdictional wetland,permanent,0.1,acres,loss,LOSS
435,Notice_NO_2429,forested wetland,unknown,9.3,acres,loss,LOSS
436,Notice_NO_2428,bottomland hardwood wetland,permanent,6.02,acres,loss,LOSS
437,Notice_NO_2428,other water,permanent,1.42,acres,loss,LOSS
438,Notice_NO_2428,bottomland hardwood,temporary,1.61,acres,loss,LOSS
439,Notice_NO_2428,other water,temporary,0.14,acres,loss,LOSS
440,Notice_NO_441,unknown,unknown,3.42,miles,decommissioning,UNCATEGORIZED
441,Notice_NO_5979,unknown,unknown,30.86,cubic yards,fill material,UNCATEGORIZED
442,Notice_NO_5978,wetland,unknown,5.87,acres,fill,LOSS
443,Notice_NO_440,unknown,unknown,3.42,miles,decommissioning,UNCATEGORIZED
444,Notice_NO_5977,wetland,unknown,2.88,acres,reconfigure interchange,UNCATEGORIZED
445,Notice_NO_5975,unknown,unknown,2.5,acres,fill,UNCATEGORIZED
446,Notice_NO_5976,wetland,unknown,7.24,acres,dredge and/or fill,LOSS
447,Notice_NO_5976,wetland cut surface water,unknown,1.52,acres,fill,LOSS
448,Notice_NO_5976,upland cut surface water,unknown,2.4,acres,fill,LOSS
449,Notice_NO_5976,waters of the united states (surface waters and wetlands),unknown,11.16,acres,dredge and/or fill,LOSS
450,Notice_NO_5976,secondary wetland,unknown,3.23,acres,impacts,LOSS
451,Notice_NO_5974,jurisdictional wetland,unknown,3825.0,square feet,fill,LOSS
452,Notice_NO_1338,palustrine forested and emergent jurisdictional wetland,unknown,1.84,acres,fill,LOSS
453,Notice_NO_1338,palustrine forested wetland,unknown,1.73,acres,fill,LOSS
454,Notice_NO_1338,palustrine forested wetland,unknown,0.01,acres,fill,LOSS
455,Notice_NO_1338,palustrine emergent wetland,unknown,0.1,acres,fill,LOSS
456,Notice_NO_5973,waters of the united states(wetlands),unknown,2.54,acres,reconstruction,UNCATEGORIZED
457,Notice_NO_1339,fee-simple property,unknown,0.1,acres,loss to erosion,UNCATEGORIZED
458,Notice_NO_1339,shoreline,unknown,112.0,feet,riprap rock installation for bank stabilization,UNCATEGORIZED
459,Notice_NO_1339,water bottom,unknown,0.13,acres,fill,LOSS
460,Notice_NO_1339,unauthorized wetland fill,unknown,0.26,acres,retention,UNCATEGORIZED
461,Notice_NO_1339,low-quality pine savannah wetland,unknown,0.1,acres,fill for residential development,LOSS
462,Notice_NO_1339,wetland fill,unknown,0.16,acres,additional fill,LOSS
463,Notice_NO_1337,jurisdictional wetland,unknown,1.6,acres,loss,LOSS
464,Notice_NO_5972,open water/cattle pond,permanent,3.75,acres,fill,LOSS
465,Notice_NO_5972,agricultural ditches (linear wetlands),permanent,1.99,acres,fill,UNCATEGORIZED
466,Notice_NO_5972,open water pond,permanent,0.22,acres,grading,UNCATEGORIZED
467,Notice_NO_5972,agricultural ditches (linear wetlands),permanent,1.44,acres,grading,UNCATEGORIZED
468,Notice_NO_5972,ditches (linear wetlands),permanent,9285.0,feet,fill,UNCATEGORIZED
469,Notice_NO_5972,wetland,temporary,0.29,acres,flow-way improvements,UNCATEGORIZED
470,Notice_NO_5972,non-jurisdictional linear conveyances (shallow agricultural swales),permanent,5.77,acres,fill,LOSS
471,Notice_NO_5972,non-jurisdictional linear conveyances (shallow agricultural swales),permanent,0.62,acres,grading,UNCATEGORIZED
472,Notice_NO_5970,unknown,unknown,,other,lunch and drinks,UNCATEGORIZED
473,Notice_NO_5971,waters of the united states (surface waters and wetlands),unknown,5.47,acres,fill material,LOSS
474,Notice_NO_2424,jurisdictional wetland,unknown,8.7,acres,direct loss,LOSS
475,Notice_NO_2425,unknown,unknown,85.0,acres,dredging,UNCATEGORIZED
476,Notice_NO_2423,unknown,unknown,800.0,cubic yards,revetment repair,UNCATEGORIZED
477,Notice_NO_2426,jurisdictional wetland,unknown,3.57,acres,loss,LOSS
478,Notice_NO_439,palustrine wetland,unknown,45.51,acres,fill,LOSS
479,Notice_NO_439,estuarine wetland,unknown,41.37,acres,fill,LOSS
480,Notice_NO_439,sand flat,unknown,46.91,acres,fill,UNCATEGORIZED
481,Notice_NO_439,estuarine wetland,unknown,30.39,acres,excavation,LOSS
482,Notice_NO_439,palustrine wetland,unknown,6.15,acres,excavation,LOSS
483,Notice_NO_439,upland,unknown,19.29,acres,conversion,UNCATEGORIZED
484,Notice_NO_5967,boat ramp,unknown,1.0,unknown,remove,UNCATEGORIZED
485,Notice_NO_5967,dock,unknown,1.0,unknown,remove,UNCATEGORIZED
486,Notice_NO_5967,dock,unknown,1.0,unknown,construct,UNCATEGORIZED
487,Notice_NO_5967,dock,unknown,1.0,unknown,reconfigure,UNCATEGORIZED
488,Notice_NO_5967,dock,unknown,6.0,unknown,remove,UNCATEGORIZED
489,Notice_NO_5967,boat ramp,unknown,1.0,unknown,maintain,UNCATEGORIZED
490,Notice_NO_5967,dock,unknown,1.0,unknown,construct,UNCATEGORIZED
491,Notice_NO_5968,forested freshwater wetland,unknown,4.44,acres,construction of a multi-family residential development with associated roadway and stormwater infrastructure,UNCATEGORIZED
492,Notice_NO_5969,freshwater herbaceous wetland,unknown,0.95,acres,fill,LOSS
493,Notice_NO_1334,wetland,unknown,10.19,acres,fill,LOSS
494,Notice_NO_5966,submerged land,temporary,500.0,square feet,filling,UNCATEGORIZED
495,Notice_NO_1333,wetland,unknown,0.84,acres,fill,LOSS
496,Notice_NO_1333,intermittent stream,unknown,122.0,feet,fill,LOSS
497,Notice_NO_1333,choccolocco creek,unknown,16.0,feet,fill,UNCATEGORIZED
498,Notice_NO_1333,perennial stream,unknown,267.0,feet,fill,LOSS
499,Notice_NO_1335,jurisdictional wetland,unknown,2.52,acres,fill,LOSS
500,Notice_NO_1335,wetland,unknown,2.52,acres,"installation of streets, utility lines, house pads, driveways, and a detention pond",UNCATEGORIZED
501,Notice_NO_438,well pad,unknown,0.66,acres,expansion,UNCATEGORIZED
502,Notice_NO_5963,freshwater wetland,unknown,0.52,acres,discharge of earthen material,LOSS
503,Notice_NO_5963,"upland, wetland, and surface water",unknown,0.48,acres,excavation of sediment and riprap,LOSS
504,Notice_NO_5963,existing manmade canals/surface water,unknown,0.64,acres,excavation and filling,LOSS
505,Notice_NO_5964,wetland,unknown,1.721,acres,expand the Open Storage/Stabilized Parking area,UNCATEGORIZED
506,Notice_NO_5965,beach,unknown,155000.0,cubic yards,restore and maintain,UNCATEGORIZED
507,Notice_NO_5965,beach,unknown,2700.0,cubic yards,place below the mean high water line,UNCATEGORIZED
508,Notice_NO_5965,beach/dune system,unknown,2.59,acres,fill,UNCATEGORIZED
509,Notice_NO_2417,emergent wetland,permanent,0.98,acres,"grading, redistributing approximately 76,000 cubic yards of native earthen material, and deposition of approximately 10,000 cubic yards of base course and 8,000 cubic yards of asphalt",UNCATEGORIZED
